experiment,variable,value,prompt,seed,clip_score,gen_time_sec,image_path
exp1_cfg_scale,cfg_scale,15,a cozy cabin in a snowy forest,999,0.6581,9.48,results\exp1_cfg_scale_cfg_scale_15_seed999_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,20,a majestic lion in the savanna at sunset,42,0.6723,9.48,results\exp1_cfg_scale_cfg_scale_20_seed42_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,20,a majestic lion in the savanna at sunset,123,0.6605,9.13,results\exp1_cfg_scale_cfg_scale_20_seed123_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,20,a majestic lion in the savanna at sunset,999,0.6547,9.43,results\exp1_cfg_scale_cfg_scale_20_seed999_a_majestic_lion_in_t.png
exp1_cfg_scale,cfg_scale,20,a futuristic city skyline with flying cars,42,0.6717,9.67,results\exp1_cfg_scale_cfg_scale_20_seed42_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,20,a futuristic city skyline with flying cars,123,0.6654,9.55,results\exp1_cfg_scale_cfg_scale_20_seed123_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,20,a futuristic city skyline with flying cars,999,0.6628,9.65,results\exp1_cfg_scale_cfg_scale_20_seed999_a_futuristic_city_sk.png
exp1_cfg_scale,cfg_scale,20,a cozy cabin in a snowy forest,42,0.6596,9.49,results\exp1_cfg_scale_cfg_scale_20_seed42_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,20,a cozy cabin in a snowy forest,123,0.6601,9.6,results\exp1_cfg_scale_cfg_scale_20_seed123_a_cozy_cabin_in_a_sn.png
exp1_cfg_scale,cfg_scale,20,a cozy cabin in a snowy forest,999,0.6546,9.43,results\exp1_cfg_scale_cfg_scale_20_seed999_a_cozy_cabin_in_a_sn.png
exp2_steps,steps,10,a majestic lion in the savanna at sunset,42,0.6675,4.82,results\exp2_steps_steps_10_seed42_a_majestic_lion_in_t.png
exp2_steps,steps,10,a majestic lion in the savanna at sunset,123,0.6586,4.73,results\exp2_steps_steps_10_seed123_a_majestic_lion_in_t.png
exp2_steps,steps,10,a majestic lion in the savanna at sunset,999,0.6591,4.7,results\exp2_steps_steps_10_seed999_a_majestic_lion_in_t.png
exp2_steps,steps,10,a futuristic city skyline with flying cars,42,0.6606,4.54,results\exp2_steps_steps_10_seed42_a_futuristic_city_sk.png
exp2_steps,steps,10,a futuristic city skyline with flying cars,123,0.6643,4.79,results\exp2_steps_steps_10_seed123_a_futuristic_city_sk.png
exp2_steps,steps,10,a futuristic city skyline with flying cars,999,0.6648,4.77,results\exp2_steps_steps_10_seed999_a_futuristic_city_sk.png
exp2_steps,steps,10,a cozy cabin in a snowy forest,42,0.6503,4.77,results\exp2_steps_steps_10_seed42_a_cozy_cabin_in_a_sn.png
